Current Test,Time,X,Y,Z,X2,Y2,Z2
,16539,470.93518,546.7526,279.60785,,,
,16555,441.35025,561.63763,280.05652,,,
,16572,412.93753,575.54224,280.3946,,,
,16587,412.93753,575.54224,280.3946,,,
,16604,387.0265,584.0017,279.86682,,,
,16620,360.2409,588.71906,278.51892,,,
,16637,333.7439,591.49634,278.01813,,,
,16654,311.39865,591.82135,276.35663,,,
,16670,288.79462,590.1011,275.06473,,,
,16687,251.44916,576.9894,273.01694,,,
,16704,251.44916,576.9894,273.01694,,,
,16720,220.05568,554.6794,268.90903,,,
,16738,220.05568,554.6794,268.90903,,,
,16753,220.05568,554.6794,268.90903,,,
,16772,198.40692,513.84796,266.905,,,
,16786,198.40692,513.84796,266.905,,,
,16804,191.77492,493.92383,264.69293,,,
,16820,189.9802,480.9671,263.57318,,,
,16837,188.76631,464.85242,261.05664,,,
,16853,190.36368,456.39447,263.98157,,,
,16870,194.1123,431.1596,274.99084,,,
,16887,197.41661,411.16626,278.19928,,,
,16903,198.85759,392.10797,305.17557,,,
,16920,203.6215,372.3662,335.09586,,,
,16937,211.75682,360.75824,345.90933,,,
,16954,223.12537,350.39832,351.82367,,,
,16970,233.85606,343.20642,354.65417,,,
,16987,247.04453,336.42456,355.57343,,,
,17003,264.12515,328.98914,357.14334,,,
,17020,282.28207,320.3673,354.39703,,,
,17037,289.97504,316.71423,353.23346,,,
,17053,313.5357,314.62537,352.5185,,,
,17070,337.72864,315.38647,352.28436,,,
,17087,359.3387,317.55963,354.70975,,,
,17103,376.17917,322.51105,354.60187,,,
,17120,376.17917,322.51105,354.60187,,,
,17138,409.73874,335.72876,363.24448,,,
,17153,424.21625,342.45703,364.24976,,,
,17170,424.21625,342.45703,364.24976,,,
,17188,437.07004,351.38226,364.8335,,,
,17203,437.07004,351.38226,364.8335,,,
,17221,451.64297,363.4265,363.60486,,,
,17237,465.81485,375.357,361.93668,,,
,17254,480.2584,387.34937,360.03464,,,
,17270,504.2812,412.0279,363.52884,,,
,17286,504.2812,412.0279,363.52884,,,
,17304,521.0488,440.79944,359.9646,,,
,17322,521.0488,440.79944,359.9646,,,
,17337,527.486,456.44354,357.81232,,,
,17354,533.18555,471.11902,352.40607,,,
,17370,536.9004,486.89697,350.2065,,,
,17387,537.81024,503.18268,347.3036,,,
,17404,534.7798,520.0918,345.98953,,,
,17420,534.7798,520.0918,345.98953,,,
,17437,530.6507,538.5295,349.77945,,,
,17453,520.11847,568.567,351.93695,,,
,17470,510.796,582.76666,353.83975,,,
,17488,499.98795,595.64856,356.09814,,,
,17503,499.98795,595.64856,356.09814,,,
,17520,489.68094,605.6166,355.4567,,,
,17537,459.7092,623.59106,355.2079,,,
